city,state,house_type,price,year,month,time
San Francisco,CA,1,772531.0,2015,01,2015-01
Berkeley,CA,1,489258.0,2015,01,2015-01
Mountain View,CA,1,534448.0,2015,01,2015-01
Palo Alto,CA,1,1126590.0,2015,01,2015-01
Foster City,CA,1,551859.0,2015,01,2015-01
San Francisco,CA,1,776145.0,2015,02,2015-02
Berkeley,CA,1,493921.0,2015,02,2015-02
Mountain View,CA,1,535323.0,2015,02,2015-02
Palo Alto,CA,1,1132341.0,2015,02,2015-02
Foster City,CA,1,557849.0,2015,02,2015-02
San Francisco,CA,1,784169.0,2015,03,2015-03
Berkeley,CA,1,501310.0,2015,03,2015-03
Mountain View,CA,1,543475.0,2015,03,2015-03
Palo Alto,CA,1,1146576.0,2015,03,2015-03
Foster City,CA,1,567408.0,2015,03,2015-03
San Francisco,CA,1,796022.0,2015,04,2015-04
Berkeley,CA,1,507777.0,2015,04,2015-04
Mountain View,CA,1,547419.0,2015,04,2015-04
Palo Alto,CA,1,1152200.0,2015,04,2015-04
Foster City,CA,1,575276.0,2015,04,2015-04
San Francisco,CA,1,800780.0,2015,05,2015-05
Berkeley,CA,1,514589.0,2015,05,2015-05
Mountain View,CA,1,551663.0,2015,05,2015-05
Palo Alto,CA,1,1175897.0,2015,05,2015-05
Foster City,CA,1,584955.0,2015,05,2015-05
San Francisco,CA,1,812242.0,2015,06,2015-06
Berkeley,CA,1,520090.0,2015,06,2015-06
Mountain View,CA,1,552708.0,2015,06,2015-06
Palo Alto,CA,1,1180663.0,2015,06,2015-06
Foster City,CA,1,590979.0,2015,06,2015-06
San Francisco,CA,1,827531.0,2015,07,2015-07
Berkeley,CA,1,525757.0,2015,07,2015-07
Mountain View,CA,1,559129.0,2015,07,2015-07
Palo Alto,CA,1,1191885.0,2015,07,2015-07
Foster City,CA,1,600916.0,2015,07,2015-07
San Francisco,CA,1,845283.0,2015,08,2015-08
Berkeley,CA,1,532607.0,2015,08,2015-08
Mountain View,CA,1,565721.0,2015,08,2015-08
Palo Alto,CA,1,1188174.0,2015,08,2015-08
Foster City,CA,1,611770.0,2015,08,2015-08
San Francisco,CA,1,859925.0,2015,09,2015-09
Berkeley,CA,1,543526.0,2015,09,2015-09
Mountain View,CA,1,571875.0,2015,09,2015-09
Palo Alto,CA,1,1201153.0,2015,09,2015-09
Foster City,CA,1,622214.0,2015,09,2015-09
San Francisco,CA,1,869287.0,2015,10,2015-10
Berkeley,CA,1,553032.0,2015,10,2015-10
Mountain View,CA,1,578421.0,2015,10,2015-10
Palo Alto,CA,1,1209923.0,2015,10,2015-10
Foster City,CA,1,633314.0,2015,10,2015-10
San Francisco,CA,1,870011.0,2015,11,2015-11
Berkeley,CA,1,559926.0,2015,11,2015-11
Mountain View,CA,1,587045.0,2015,11,2015-11
Palo Alto,CA,1,1220313.0,2015,11,2015-11
Foster City,CA,1,645879.0,2015,11,2015-11
San Francisco,CA,1,876022.0,2015,12,2015-12
Berkeley,CA,1,565743.0,2015,12,2015-12
Mountain View,CA,1,595751.0,2015,12,2015-12
Palo Alto,CA,1,1222300.0,2015,12,2015-12
Foster City,CA,1,654389.0,2015,12,2015-12
San Francisco,CA,1,886482.0,2016,01,2016-01
Berkeley,CA,1,572415.0,2016,01,2016-01
Mountain View,CA,1,602470.0,2016,01,2016-01
Palo Alto,CA,1,1227244.0,2016,01,2016-01
Foster City,CA,1,667204.0,2016,01,2016-01
San Francisco,CA,1,891327.0,2016,02,2016-02
Berkeley,CA,1,579987.0,2016,02,2016-02
Mountain View,CA,1,604992.0,2016,02,2016-02
Palo Alto,CA,1,1235519.0,2016,02,2016-02
Foster City,CA,1,673760.0,2016,02,2016-02
San Francisco,CA,1,887740.0,2016,03,2016-03
Berkeley,CA,1,581344.0,2016,03,2016-03
Mountain View,CA,1,606051.0,2016,03,2016-03
Palo Alto,CA,1,1241890.0,2016,03,2016-03
Foster City,CA,1,678785.0,2016,03,2016-03
San Francisco,CA,1,875622.0,2016,04,2016-04
Berkeley,CA,1,586036.0,2016,04,2016-04
Mountain View,CA,1,611228.0,2016,04,2016-04
Palo Alto,CA,1,1260079.0,2016,04,2016-04
Foster City,CA,1,685457.0,2016,04,2016-04
San Francisco,CA,1,872354.0,2016,05,2016-05
Berkeley,CA,1,591276.0,2016,05,2016-05
Mountain View,CA,1,612788.0,2016,05,2016-05
Palo Alto,CA,1,1252213.0,2016,05,2016-05
Foster City,CA,1,687787.0,2016,05,2016-05
San Francisco,CA,1,864338.0,2016,06,2016-06
Berkeley,CA,1,597189.0,2016,06,2016-06
Mountain View,CA,1,614890.0,2016,06,2016-06
Palo Alto,CA,1,1252339.0,2016,06,2016-06
Foster City,CA,1,695820.0,2016,06,2016-06
San Francisco,CA,1,852521.0,2016,07,2016-07
Berkeley,CA,1,598750.0,2016,07,2016-07
Mountain View,CA,1,609964.0,2016,07,2016-07
Palo Alto,CA,1,1243242.0,2016,07,2016-07
Foster City,CA,1,692292.0,2016,07,2016-07
San Francisco,CA,1,840616.0,2016,08,2016-08
Berkeley,CA,1,598214.0,2016,08,2016-08
Mountain View,CA,1,611632.0,2016,08,2016-08
Palo Alto,CA,1,1251316.0,2016,08,2016-08
Foster City,CA,1,692233.0,2016,08,2016-08
San Francisco,CA,1,837191.0,2016,09,2016-09
Berkeley,CA,1,597896.0,2016,09,2016-09
Mountain View,CA,1,608886.0,2016,09,2016-09
Palo Alto,CA,1,1241262.0,2016,09,2016-09
Foster City,CA,1,688330.0,2016,09,2016-09
San Francisco,CA,1,839645.0,2016,10,2016-10
Berkeley,CA,1,602653.0,2016,10,2016-10
Mountain View,CA,1,611612.0,2016,10,2016-10
Palo Alto,CA,1,1236538.0,2016,10,2016-10
Foster City,CA,1,689029.0,2016,10,2016-10
San Francisco,CA,1,845792.0,2016,11,2016-11
Berkeley,CA,1,610528.0,2016,11,2016-11
Mountain View,CA,1,611065.0,2016,11,2016-11
Palo Alto,CA,1,1225644.0,2016,11,2016-11
Foster City,CA,1,685593.0,2016,11,2016-11
San Francisco,CA,1,845823.0,2016,12,2016-12
Berkeley,CA,1,616547.0,2016,12,2016-12
Mountain View,CA,1,614709.0,2016,12,2016-12
Palo Alto,CA,1,1226948.0,2016,12,2016-12
Foster City,CA,1,687603.0,2016,12,2016-12
San Francisco,CA,1,843754.0,2017,01,2017-01
Berkeley,CA,1,618709.0,2017,01,2017-01
Mountain View,CA,1,617212.0,2017,01,2017-01
Palo Alto,CA,1,1222674.0,2017,01,2017-01
Foster City,CA,1,689608.0,2017,01,2017-01
San Francisco,CA,1,838595.0,2017,02,2017-02
Berkeley,CA,1,619037.0,2017,02,2017-02
Mountain View,CA,1,623234.0,2017,02,2017-02
Palo Alto,CA,1,1223037.0,2017,02,2017-02
Foster City,CA,1,694806.0,2017,02,2017-02
San Francisco,CA,1,835468.0,2017,03,2017-03
Berkeley,CA,1,624710.0,2017,03,2017-03
Mountain View,CA,1,625115.0,2017,03,2017-03
Palo Alto,CA,1,1225879.0,2017,03,2017-03
Foster City,CA,1,695978.0,2017,03,2017-03
San Francisco,CA,1,837656.0,2017,04,2017-04
Berkeley,CA,1,628798.0,2017,04,2017-04
Mountain View,CA,1,626000.0,2017,04,2017-04
Palo Alto,CA,1,1229897.0,2017,04,2017-04
Foster City,CA,1,690006.0,2017,04,2017-04
San Francisco,CA,1,843437.0,2017,05,2017-05
Berkeley,CA,1,632625.0,2017,05,2017-05
Mountain View,CA,1,625910.0,2017,05,2017-05
Palo Alto,CA,1,1238866.0,2017,05,2017-05
Foster City,CA,1,686593.0,2017,05,2017-05
San Francisco,CA,1,850170.0,2017,06,2017-06
Berkeley,CA,1,638594.0,2017,06,2017-06
Mountain View,CA,1,629260.0,2017,06,2017-06
Palo Alto,CA,1,1242297.0,2017,06,2017-06
Foster City,CA,1,678810.0,2017,06,2017-06
San Francisco,CA,1,856273.0,2017,07,2017-07
Berkeley,CA,1,644238.0,2017,07,2017-07
Mountain View,CA,1,637594.0,2017,07,2017-07
Palo Alto,CA,1,1245931.0,2017,07,2017-07
Foster City,CA,1,683169.0,2017,07,2017-07
San Francisco,CA,1,863764.0,2017,08,2017-08
Berkeley,CA,1,650414.0,2017,08,2017-08
Mountain View,CA,1,647189.0,2017,08,2017-08
Palo Alto,CA,1,1249020.0,2017,08,2017-08
Foster City,CA,1,687522.0,2017,08,2017-08
San Francisco,CA,1,868400.0,2017,09,2017-09
Berkeley,CA,1,654873.0,2017,09,2017-09
Mountain View,CA,1,664887.0,2017,09,2017-09
Palo Alto,CA,1,1266431.0,2017,09,2017-09
Foster City,CA,1,700398.0,2017,09,2017-09
San Francisco,CA,1,870405.0,2017,10,2017-10
Berkeley,CA,1,661419.0,2017,10,2017-10
Mountain View,CA,1,677019.0,2017,10,2017-10
Palo Alto,CA,1,1288854.0,2017,10,2017-10
Foster City,CA,1,713196.0,2017,10,2017-10
San Francisco,CA,1,871809.0,2017,11,2017-11
Berkeley,CA,1,665706.0,2017,11,2017-11
Mountain View,CA,1,688020.0,2017,11,2017-11
Palo Alto,CA,1,1320311.0,2017,11,2017-11
